Gene_Symbol	Upregulated
CSGALNACT2	Tumor
CSNK2A1	Tumor
CSPG4P10	Normal
CSRNP2	Tumor
CSRP2	Normal
CST1	Tumor
CST2	Tumor
CST6	Normal
CSTA	Normal
CSTB	Normal
CSTF1	Tumor
CTA-384D8.35	Tumor
CTB-113P19.4	Normal
CTB-191K22.5	Normal
CTB-193M12.5	Tumor
CTB-31O20.6	Normal
CTB-39G8.3	Normal
CTB-60B18.18	Normal
CTB-79E8.2	Normal
CTBP2	Tumor
CTBS	Tumor
CTC-250I14.3	Tumor
CTC-251D13.1	Normal
CTC-276P9.4	Normal
CTC-425F1.4	Normal
CTC-429P9.4	Normal
CTC-444N24.7	Tumor
CTC-490G23.2	Normal
CTC-510F12.6	Normal
CTC-518B2.12	Normal
CTC-518B2.9	Normal
CTD-2017F17.2	Normal
CTD-2196E14.7	Tumor
CTD-2228K2.7	Normal
CTD-2287O16.1	Normal
CTD-2377D24.6	Tumor
CTD-2510F5.4	Tumor
CTD-2537I9.12	Normal
CTD-2540B15.11	Normal
CTD-2583A14.10	Tumor
CTD-2619J13.13	Normal
CTD-3035K23.7	Normal
CTD-3092A11.2	Normal
CTD-3128G10.6	Normal
CTD-3184A7.4	Normal
CTD-3252C9.4	Normal
CTDSPL2	Tumor
CTHRC1	Tumor
CTNNBIP1	Normal
CTRB1	Normal
CTRB2	Normal
CTSA	Tumor
CTSC	Tumor
CTSE	Tumor
CTSG	Normal
CTSH	Tumor
CTSL	Tumor
CTSO	Tumor
CTSS	Tumor
CTSV	Tumor
CTSZ	Tumor
CTTNBP2	Normal
CUX1	Tumor
CWH43	Normal
CXADR	Tumor
CXCL1	Tumor
CXCL10	Tumor
CXCL11	Tumor
CXCL12	Normal
CXCL13	Tumor
CXCL16	Tumor
CXCL17	Normal
CXCL2	Tumor
CXCL3	Tumor
CXCL5	Tumor
CXCL6	Tumor
CXCL8	Tumor
CXCL9	Tumor
CXCR2	Normal
CXCR5	Tumor
CXXC1	Normal
CYBA	Tumor
CYBB	Tumor
CYFIP2	Tumor
CYP11A1	Normal
CYP20A1	Tumor
CYP2C18	Normal
CYP2C9	Normal
CYP2E1	Normal
CYP2J2	Normal
CYP2S1	Tumor
CYP3A5	Normal
CYP4B1	Normal
CYP4F12	Normal
CYP4F22	Normal
CYP4F29P	Normal
CYP4F3	Normal
CYP4F35P	Normal
CYP4V2	Tumor
CYP4X1	Normal
CYSRT1	Normal
CYSTM1	Tumor
D2HGDH	Normal
D4S234E	Normal
DAAM2	Normal
DAB2	Tumor
DAG1	Tumor
DAP	Tumor
DAPK1	Tumor
DAPL1	Normal
DAPP1	Normal
DARS2	Tumor
DBF4	Tumor
